source,target,value
 черненьких, чумазеньких,0.1
 нет, не,3.0000000000000013
 я, не,19.500000000000007
 не, знаю,7.499999999999989
 знаю, что,5.1999999999999975
 что, сказать,1.4000000000000001
 леся, а,0.1
 я, хочу,14.599999999999964
 такси, фм,0.1
 такси, в,0.1
 кантемировская, двадцать,0.1
 мы, пришли,2.400000000000001
 и, смотреть,0.4
 смотреть, на,0.7999999999999999
 пришли, и,0.1
 надо, включить,0.1
 все, будет,2.2000000000000006
 леся, я,0.2
 леся, и,0.1
 я, люблю,29.900000000000155
 алиса, я,0.1
 и, тебе,0.1
 заметался, пожар,0.5
 позабылись, родимые,0.5
 первый, раз,1.6000000000000003
 раз, я,0.5
 я, запел,0.6
 запел, про,0.5
 камила, меня,0.30000000000000004
 меня, зовут,8.699999999999985
 зовут, камила,0.1
 самый, лучший,1.8000000000000005
 кто, такой,2.500000000000001
 аленка, лучше,0.1
 ксюша, и,0.7
 я, лена,0.2
 и, алёна,0.1
 ксюша, я,0.30000000000000004
 сейчас, самое,0.1
 ты, просто,3.1000000000000014
 этом, мире,0.5
 а, если,3.5000000000000018
 если, все,0.30000000000000004
 все, происходит,0.1
 происходит, в,0.6
 мире, .,0.1
 ., в,0.4
 когда, ты,2.400000000000001
 ты, приедешь,0.2
 приедешь, за,0.2
 ты, пробуешь,0.2
 пробуешь, глюконат,0.2
 ты, видишь,0.6
 а, он,0.9999999999999999
 видишь, суслика,0.2
 суслика, я,0.2
 я, нет,0.1
 нет, а,0.4
 и, это,0.5
 зачем, ты,1.4000000000000001
 ты, это,0.8999999999999999
 приходи, ко,0.1
 ко, мне,1.2
 мне, в,0.7
 ты, придешь,0.1
 придешь, в,0.1
 я, полечу,0.1
 полечу, на,0.1
 мой, лучший,0.4
 путин, мой,0.2
 ты, знаешь,4.100000000000001
 знаешь, как,0.5
 как, заполнять,0.30000000000000004
 заполнять, налоговую,0.2
 я, знаю,3.4000000000000017
 знаю, а,0.1
 что, я,5.799999999999995
 какой, цвет,0.1
 мы, еще,0.30000000000000004
 танюсик, мы,0.2
 мы, тебя,1.4000000000000001
 разобраться, в,0.1
 мысленный, поток,0.1
 поток, 5,0.1
 раз, два,6.5999999999999925
 два, три,4.999999999999998
 три, четыре,2.3000000000000007
 три, раз,1.9000000000000006
 четыре, пять,2.0000000000000004
 пять, раз,0.1
 5, 1,0.1
 пал, оклеветанный,0.2
 невольник, чести,0.1
 чести, пал,0.1
 и, жаждой,1.6000000000000003
 груди, и,1.5000000000000002
 жаждой, мести,1.4000000000000001
 мести, поникнув,1.3
 поникнув, гордой,1.3
 гордой, головой,1.2
 головой, не,1.2
 так, злобно,1.2
 не, вынесла,1.3
 вынесла, так,1.0999999999999999
 его, свободный,1.0999999999999999
 злобно, гнали,0.9999999999999999
 гнали, его,0.9999999999999999
 свободный, смелый,0.8999999999999999
 смелый, до,0.8999999999999999
 800000, последних,0.8999999999999999
 до, 800000,0.7999999999999999
 последних, вместе,0.7
 вместе, или,0.7
 mac, os,0.7999999999999999
 os, как,0.7999999999999999
 как, светоч,0.7
 светоч, дивный,0.7
 или, mac,0.6
 дивный, гений,0.5
 гений, увял,0.5
 увял, торжественный,0.5
 торжественный, венок,0.4
 венок, пистолет,0.30000000000000004
 пистолет, что,0.30000000000000004
 за, диво,0.30000000000000004
 диво, издалека,0.30000000000000004
 издалека, подобный,0.30000000000000004
 подобный, сотням,0.30000000000000004
 презирал, земли,0.30000000000000004
 язык, и,0.30000000000000004
 сотням, беглецов,0.2
 беглецов, заброшенном,0.2
 заброшенном, презирал,0.2
 земли, чужой,0.2
 чужой, язык,0.2
 понять, что,0.5
 что, он,0.6
 он, руку,0.2
 и, нравы,0.1
 нравы, не,0.1
 не, мог,0.30000000000000004
 мог, понять,0.1
 такое, глаз,0.1
 стихотворение, лермонтова,0.1
 лермонтова, смерть,0.1
 мяу, гав,0.1
 распознавание, речи,0.1
 я, ехала,0.1
 ландан, из,0.4
 из, зе,0.8999999999999999
 зе, кэпитал,0.6
 кэпитал, оф,0.4
 london, is,0.5
 is, the,0.4
 the, capital,0.30000000000000004
 capital, of,0.5
 of, great,0.4
 лампы, на,0.1
 лена, дима,0.1
 как, твои,0.7
 можно, говорить,1.6000000000000003
 imagine, group,0.2
 group, я,0.2
 имэджин, группы,0.1
 полеты, во,0.2
 во, сне,0.7
 сне, и,0.1
 прилетит, вдруг,0.30000000000000004
 вдруг, волшебник,0.2
 волшебник, в,0.2
 в, голубом,0.1
 ай, лав,1.3
 лав, ю,0.4
 пам, пирам,0.1
 пирам, пам,0.1
 ты, меня,5.599999999999996
 будет, ли,2.0000000000000004
 ли, россия,0.5
 россия, чемпионом,0.2
 чемпионом, мира,0.1
 он, меня,0.7999999999999999
 меня, не,3.700000000000002
 ты, слышишь,0.30000000000000004
 как, дела,5.399999999999997
 дела, как,1.5000000000000002
 какая, погода,0.7999999999999999
 погода, в,1.0999999999999999
 холодная, зима,0.30000000000000004
 зима, капуста,0.1
 мы, пошли,1.5000000000000002
 пошли, в,1.0999999999999999
 в, следующий,0.4
 ключи, на,0.1
 дела, у,0.4
 не, надо,2.700000000000001
 надо, мне,0.8999999999999999
 мне, таких,0.1
 мне, такие,0.2
 такие, слова,0.4
 извини, меня,0.2
 прости, за,0.2
 меня, пожалуйста,0.1
 пожалуйста, прости,0.1
 всеобщая, серость,0.30000000000000004
 серость, при,0.2
 при, нашем-то,0.1
 ощущение, личности,0.30000000000000004
 личности, может,0.30000000000000004
 может, состоятся,0.1
 состоятся, ли,0.30000000000000004
 ли, в,0.7999999999999999
 в, состоянии,0.5
 может, состояться,0.1
 состояться, лишь,0.1
 лишь, состояние,0.1
